iter	Passed	Remaining
0	38	3786
1	78	3825
2	123	4004
3	163	3922
4	207	3934
5	252	3958
6	294	3914
7	343	3945
8	385	3893
9	430	3874
10	471	3814
11	511	3748
12	539	3607
13	587	3609
14	631	3576
15	665	3491
16	705	3445
17	745	3397
18	786	3354
19	829	3316
20	869	3269
21	910	3228
22	956	3202
23	994	3148
24	1010	3031
25	1057	3010
26	1100	2975
27	1146	2947
28	1191	2916
29	1230	2870
30	1270	2827
31	1316	2796
32	1363	2769
33	1410	2737
34	1456	2704
35	1499	2666
36	1515	2580
37	1558	2542
38	1598	2500
39	1638	2458
40	1680	2417
41	1719	2374
42	1761	2335
43	1801	2293
44	1842	2251
45	1859	2182
46	1900	2143
47	1917	2076
48	1959	2039
49	1981	1981
50	2022	1943
51	2065	1906
52	2119	1879
53	2187	1863
54	2216	1813
55	2259	1775
56	2300	1735
57	2321	1680
58	2380	1654
59	2423	1615
60	2457	1570
61	2468	1513
62	2510	1474
63	2551	1435
64	2589	1394
65	2632	1356
66	2681	1320
67	2725	1282
68	2774	1246
69	2814	1206
70	2859	1167
71	2900	1128
72	2930	1083
73	2955	1038
74	3004	1001
75	3040	960
76	3101	926
77	3152	889
78	3200	850
79	3246	811
80	3300	774
81	3438	754
82	3499	716
83	3548	675
84	3588	633
85	3636	592
86	3676	549
87	3694	503
88	3748	463
89	3789	421
90	3806	376
91	3847	334
92	3870	291
93	3911	249
94	3954	208
95	3993	166
96	4034	124
97	4077	83
98	4116	41
99	4132	0
