iter	Logloss
0	0.6265463806
1	0.5722808588
2	0.5273022535
3	0.4895320096
4	0.4576410491
5	0.4307458086
6	0.4077993435
7	0.3879858593
8	0.3711053684
9	0.356488444
10	0.3437105183
11	0.3330652227
12	0.3237073306
13	0.315481344
14	0.3085232787
15	0.3002319572
16	0.2932015547
17	0.2872158517
18	0.2821346172
19	0.2777151662
20	0.2740266209
21	0.2707699377
22	0.2680237935
23	0.2653832544
24	0.2631972999
25	0.2613501785
26	0.2597288124
27	0.2582916313
28	0.2570103442
29	0.2558885668
30	0.2550446959
31	0.2542193118
32	0.2535929973
33	0.2530662895
34	0.2526580581
35	0.2522108671
36	0.2518261916
37	0.251591839
38	0.2513276212
39	0.2511724161
40	0.2509104656
41	0.2507362189
42	0.2506528112
43	0.250430583
44	0.2503854048
45	0.2500447181
46	0.2499203142
47	0.249657284
48	0.249585636
49	0.249455789
50	0.2492908226
51	0.2491559762
52	0.2490648971
53	0.2489716051
54	0.2488910497
55	0.2488658856
56	0.2487688381
57	0.2486879416
58	0.248644965
59	0.2485709909
60	0.2485209948
61	0.2483910493
62	0.2483797348
63	0.2482995582
64	0.2482669012
65	0.2481705843
66	0.2481533193
67	0.2481527875
68	0.2481320579
69	0.2481285249
70	0.2481252441
71	0.248102477
72	0.2480991418
73	0.2480953869
74	0.2480724581
75	0.2480237776
76	0.2480230646
77	0.2480081991
78	0.2480020569
79	0.2480019883
80	0.2479897032
81	0.2479881212
82	0.2479705348
83	0.2479380216
84	0.247885995
85	0.2478859633
86	0.247885692
87	0.24787162
88	0.2478709629
89	0.2478462073
90	0.2478457762
91	0.247839535
92	0.2478204302
93	0.2478138186
94	0.247813812
95	0.2478121706
96	0.247811725
97	0.2478116137
98	0.2477831059
99	0.2477425423
