iter	Passed	Remaining
0	70	6948
1	82	4028
2	91	2962
3	228	5475
4	238	4529
5	247	3872
6	256	3412
7	370	4261
8	471	4766
9	480	4324
10	489	3958
11	497	3651
12	506	3391
13	515	3169
14	525	2977
15	732	3843
16	759	3706
17	765	3489
18	770	3286
19	779	3119
20	789	2970
21	798	2830
22	805	2696
23	814	2578
24	822	2468
25	829	2360
26	838	2268
27	848	2180
28	857	2100
29	1092	2549
30	1099	2446
31	1214	2580
32	1223	2483
33	1344	2610
34	1356	2519
35	1366	2429
36	1376	2344
37	1469	2397
38	1587	2482
39	1597	2395
40	1606	2311
41	1715	2369
42	1723	2284
43	1732	2204
44	1737	2123
45	1747	2050
46	1755	1980
47	1964	2127
48	1974	2054
49	1981	1981
50	1990	1912
51	2100	1938
52	2111	1872
53	2122	1807
54	2132	1744
55	2141	1682
56	2150	1622
57	2159	1563
58	2331	1619
59	2342	1561
60	2352	1504
61	2362	1447
62	2367	1390
63	2376	1336
64	2385	1284
65	2393	1232
66	2402	1183
67	2410	1134
68	2715	1220
69	2725	1167
70	2831	1156
71	2840	1104
72	2853	1055
73	2860	1004
74	2869	956
75	2878	908
76	2963	885
77	2972	838
78	2982	792
79	3155	788
80	3164	742
81	3174	696
82	3182	651
83	3193	608
84	3202	565
85	3331	542
86	3337	498
87	3344	456
88	3349	414
89	3359	373
90	3364	332
91	3372	293
92	3479	261
93	3553	226
94	3557	187
95	3564	148
96	3569	110
97	3574	72
98	3708	37
99	3717	0
